"match_method","final_name","final_unit","final_barcode","final_price","price_note","seed_category_id","seed_subcategory_id","asnaf_name","asnaf_price","asnaf_unit","asnaf_barcode","karaz_name","karaz_category","karaz_price","karaz_link","karaz_image"
"barcode","بجيت ابيض 4 قطع","وحدة","3760049795646","12.99","","7","22","بجيت ابيض 4 قطع","12","وحدة","3760049795646","La Boulangere Soft French Baguettes 340g","المخبز  المخبوزات","12.99","https://karaz.ps/shop/product/la-boulangere-soft-french-baguettes-340g/","https://karaz.ps/wp-content/uploads/2022/07/3760049795646-300x300.jpg"
"barcode","ماكنة كبسولات","وحدة","010942225041","369.99","","18","47","ماكنة كبسولات","290","وحدة","010942225041","Krups Nescafe Dolce Gusto Mini Me","ماكينات تحضير القهوة","369.99","https://karaz.ps/shop/product/krups-nescafe-dolce-gusto-mini-me/","https://karaz.ps/wp-content/uploads/2022/09/010942225041-300x300.jpg"
"barcode","قهوة ازحيمان 250غم ","وحدة","6253337100200","18.99","","18","47","قهوة ازحيمان 250غم ","18","وحدة","6253337100200","Izhiman’s Coffee Light قهوة ازحيمان 2/3 شقرة 250g","القهوة (حبوب أو مطحونة)","18.99","https://karaz.ps/shop/product/izhimans-coffee-light-%d9%82%d9%87%d9%88%d8%a9-%d8%a7%d8%b2%d8%ad%d9%8a%d9%85%d8%a7%d9%86-2-3-%d8%b4%d9%82%d8%b1%d8%a9-250g/","https://karaz.ps/wp-content/uploads/2022/06/6253337100200-300x300.jpg"
"barcode","ورق فلتر ","وحدة","4006508123094","13.99","","18","47","ورق فلتر ","15","وحدة","4006508123094","Melitta Original Coffee Filters فلتر قهوة 1*2","مستلزمات القهوة وإضافاتها","13.99","https://karaz.ps/shop/product/melitta-original-coffee-filters-%d9%81%d9%84%d8%aa%d8%b1-%d9%82%d9%87%d9%88%d8%a9-12/","https://karaz.ps/wp-content/uploads/2022/06/4006508123094-300x300.jpg"
"barcode","ورق فلتر 1/4 40 ورقة ","وحدة","4006508122134","14.99","","18","47","ورق فلتر 1/4 40 ورقة ","15","وحدة","4006508122134","Melitta Original Coffee Filters فلتر قهوة 1*4","مستلزمات القهوة وإضافاتها","14.99","https://karaz.ps/shop/product/melitta-original-coffee-filters-%d9%81%d9%84%d8%aa%d8%b1-%d9%82%d9%87%d9%88%d8%a9-14/","https://karaz.ps/wp-content/uploads/2022/06/4006508122134-300x300.jpg"
"barcode","هنجري جاك بان كيك","وحدة","013300280645","23.99","","14","38","هنجري جاك بان كيك","22","وحدة","013300280645","Hungry Jack Complete Buttermilk Pancake & Waffle Mix 907g","الطعام","23.99","https://karaz.ps/shop/product/hungry-jack-complete-buttermilk-pancake-waffle-mix-907g/","https://karaz.ps/wp-content/uploads/2024/06/013300280645-300x300.jpg"
"barcode","كورن فلكس سني ميني 500 غم","وحدة","7290000072968","21.99","","26","68","كورن فلكس سني ميني 500 غم","20","وحدة","7290000072968","Nestle Cini Minis Cereal 500g","إفطار الصباح","21.99","https://karaz.ps/shop/product/nestle-cini-minis-cereal-500g/","https://karaz.ps/wp-content/uploads/2022/10/7290000072968-300x300.jpg"
"barcode","كورن فليكس فروت 425 غم","وحدة","884912129741","21.99","","26","68","كورن فليكس فروت 425 غم","20","وحدة","884912129741","Post Fruity Pebbles سيريال فروتي بابلز 425g","إفطار الصباح","21.99","https://karaz.ps/shop/product/post-fruity-pebbles-%d8%b3%d9%8a%d8%b1%d9%8a%d8%a7%d9%84-%d9%81%d8%b1%d9%88%d8%aa%d9%8a-%d8%a8%d8%a7%d8%a8%d9%84%d8%b2-425g/","https://karaz.ps/wp-content/uploads/2022/10/884912129741-300x300.jpg"
"barcode","رايز كيك","وحدة","3800233070026","8.99","","14","38","رايز كيك","9","وحدة","3800233070026","Rice up Brown Rice Cakes Himalayan Salt 120g","إفطار الصباح","8.99","https://karaz.ps/shop/product/rice-up-brown-rice-cakes-himalayan-salt-120g/","https://karaz.ps/wp-content/uploads/2022/09/3800233070026-300x300.jpg"
"barcode","سانتي فت جرانو باكاكاو المكسرات بدون سكر","وحدة","5900617037190","13.99","","3","9","سانتي فت جرانو باكاكاو المكسرات بدون سكر","13","وحدة","5900617037190","Sante Fit Granola Nuts & Cacao 300g","إفطار الصباح","13.99","https://karaz.ps/shop/product/sante-fit-granola-nuts-cacao-300g/","https://karaz.ps/wp-content/uploads/2022/07/5900617037190-300x300.jpg"
"barcode","سانتي كورن كيك طبيعي بدون جلوتين","وحدة","5900617031969","9.99","","14","38","سانتي كورن كيك طبيعي بدون جلوتين","8","وحدة","5900617031969","Sante Extra Thin Corn Cakes 120g","السيريلات و الحبوب الصحية","9.99","https://karaz.ps/shop/product/sante-extra-thin-corn-cakes-120g/","https://karaz.ps/wp-content/uploads/2022/07/5900617031969-300x300.jpg"
"barcode","سانتي رايس بدون جلوتين","وحدة","5900617014658","9.99","","26","68","سانتي رايس بدون جلوتين","8","وحدة","5900617014658","SANTE RICE CAKES 110G","السيريلات و الحبوب الصحية","9.99","https://karaz.ps/shop/product/sante-rice-cakes-110g/","https://karaz.ps/wp-content/uploads/2022/07/5900617014658-300x300.jpg"
"barcode","زبدة جف كريمي +كرتشي 454","وحدة","051500255162","19.99","","4","12","زبدة جف كريمي +كرتشي 454","18","وحدة","051500255162","Jif Peanut Butter زبدة فول سوداني 454g – ناعمة","طعام قابل للدهن","19.99","https://karaz.ps/shop/product/jif-peanut-butter-%d8%b2%d8%a8%d8%af%d8%a9-%d9%81%d9%88%d9%84-%d8%b3%d9%88%d8%af%d8%a7%d9%86%d9%8a-454g-%d9%86%d8%a7%d8%b9%d9%85%d8%a9/","https://karaz.ps/wp-content/uploads/2022/07/051500255162-300x300.jpg"
"barcode","سموكرز مربي خالي السكر","وحدة","051500040621","18.99","","3","9","سموكرز مربي خالي السكر","15","وحدة","051500040621","Smucker’s Sugar Free Jam مربى خالي من السكر 361g – Blueberry","طعام قابل للدهن","18.99","https://karaz.ps/shop/product/smuckers-sugar-free-jam-%d9%85%d8%b1%d8%a8%d9%89-%d8%ae%d8%a7%d9%84%d9%8a-%d9%85%d9%86-%d8%a7%d9%84%d8%b3%d9%83%d8%b1-361g-blueberry/","https://karaz.ps/wp-content/uploads/2022/07/051500040621-300x300.jpg"
"barcode","نوتيلا 350 غم","وحدة","80177173","16.99","","2","6","نوتيلا 350 غم","15","وحدة","80177173","Nutella Ferrero Hazelnut Spread with Cocoa, 400g","طعام قابل للدهن","16.99","https://karaz.ps/shop/product/nutella-hazelnut-spread-%d9%86%d9%88%d8%aa%d9%8a%d9%84%d8%a7-%d8%a8%d8%a7%d9%84%d8%a8%d9%86%d8%af%d9%82-%d8%b4%d9%88%d9%83%d9%88%d9%84%d8%a7%d8%aa%d8%a9-%d9%82%d8%a7%d8%a8%d9%84%d8%a9-%d9%84%d9%84-3/","https://karaz.ps/wp-content/uploads/2022/06/80177173-300x300.jpg"
"barcode","نوتيلا 600 غم","وحدة","8000500179864","23.99","","2","6","نوتيلا 600 غم","24","وحدة","8000500179864","Nutella Hazelnut Spread نوتيلا بالبندق شوكولاتة قابلة للدهن – 600g","طعام قابل للدهن","23.99","https://karaz.ps/shop/product/nutella-hazelnut-spread-%d9%86%d9%88%d8%aa%d9%8a%d9%84%d8%a7-%d8%a8%d8%a7%d9%84%d8%a8%d9%86%d8%af%d9%82-%d8%b4%d9%88%d9%83%d9%88%d9%84%d8%a7%d8%aa%d8%a9-%d9%82%d8%a7%d8%a8%d9%84%d8%a9-%d9%84%d9%84-2/","https://karaz.ps/wp-content/uploads/2022/06/8000500179864-300x300.jpg"
"barcode","جيف زبدة الفول السوداني كريمية بدون سكر ","وحدة","051500245408","21.99","","3","9","جيف زبدة الفول السوداني كريمية بدون سكر ","18","وحدة","051500245408","Jif Creamy Peanut Butter 0% Sugar 440g","طعام قابل للدهن","21.99","https://karaz.ps/shop/product/jif-no-added-sugar-creamy-peanut-butter-440g/","https://karaz.ps/wp-content/uploads/2024/06/051500245408-300x300.jpg"
"barcode","جبنة بوك دهن 240غم","وحدة","5760466899741","14.99","","7","20","جبنة بوك دهن 240غم","14","وحدة","5760466899741","Puck Danish Spread Cheese 240g","طعام قابل للدهن","14.99","https://karaz.ps/shop/product/puck-danish-spread-cheese-240g/","https://karaz.ps/wp-content/uploads/2023/10/5760466899741-small.jpg"
"barcode","نكهة الفانيلا","وحدة","5352101434501","5.99","","26","68","نكهة الفانيلا","5","وحدة","5352101434501","Foster Clark’s Vanilla نكهة فانيلا للطهي 28g","مكونات الطعام","5.99","https://karaz.ps/shop/product/foster-clarks-vanilla-%d9%86%d9%83%d9%87%d8%a9-%d9%81%d8%a7%d9%86%d9%8a%d9%84%d8%a7-%d9%84%d9%84%d8%b7%d9%87%d9%8a-28g/","https://karaz.ps/wp-content/uploads/2023/05/5352101434501-300x300.jpg"
"barcode","طحين بسكوت","وحدة","016000306509","24.99","","3","9","طحين بسكوت","18","وحدة","016000306509","Betty Crocker Chocolate chip Cookie Mix خليط لتحضير الكوكيز مع رقائق الشوكولاتة 496g","مكونات الحلويات","24.99","https://karaz.ps/shop/product/betty-crocker-chocolate-chip-cookie-mix-%d8%ae%d9%84%d9%8a%d8%b7-%d9%84%d8%aa%d8%ad%d8%b6%d9%8a%d8%b1-%d8%a7%d9%84%d9%83%d9%88%d9%83%d9%8a%d8%b2-%d9%85%d8%b9-%d8%b1%d9%82%d8%a7%d8%a6%d9%82-%d8%a7/","https://karaz.ps/wp-content/uploads/2022/12/016000306509-300x300.jpg"
"barcode","كريمة خفق  500 مل","وحدة","5902670055609","19.99","","7","19","كريمة خفق  500 مل","17","وحدة","5902670055609","Casaro Whipping Cream 500ml","مكونات الحلويات","19.99","https://karaz.ps/shop/product/casaro-whipping-cream-500ml-%d9%83%d8%b1%d9%8a%d9%85%d8%a9-%d8%ae%d9%81%d9%82-%d9%85%d8%ad%d9%84%d8%a7%d8%a9/","https://karaz.ps/wp-content/uploads/2022/07/5902670055609-300x300.jpg"
"barcode","كريمة طبيخ 500مل تنوفا","وحدة","5902670055630","19.99","","7","19","كريمة طبيخ 500مل تنوفا","16","وحدة","5902670055630","Casaro Cooking Cream 500nl","مكونات الحلويات","19.99","https://karaz.ps/shop/product/casaro-cooking-cream-500ml/","https://karaz.ps/wp-content/uploads/2022/07/5902670055630-300x300.jpg"
"barcode","كريمة بوك طبيخ 1 لتر","وحدة","5711953001406","29.99","","7","19","كريمة بوك طبيخ 1 لتر","28","وحدة","5711953001406","Puck Cooking Cream بوك كريمة الطبخ – 1 لتر","مكونات الحلويات","29.99","https://karaz.ps/shop/product/puck-cooking-cream-%d8%a8%d9%88%d9%83-%d9%83%d8%b1%d9%8a%d9%85%d8%a9-%d8%a7%d9%84%d8%b7%d8%a8%d8%ae-1-%d9%84%d8%aa%d8%b1/","https://karaz.ps/wp-content/uploads/2022/07/5711953001406-300x300.jpg"
"barcode","كريمة بوك ببطبيخ 500 غم ","وحدة","5760466994484","19.99","","7","19","كريمة بوك ببطبيخ 500 غم ","16","وحدة","5760466994484","Puck Cooking Cream بوك كريمة الطبخ – 500 مل","مكونات الحلويات","19.99","https://karaz.ps/shop/product/puck-cooking-cream-%d8%a8%d9%88%d9%83-%d9%83%d8%b1%d9%8a%d9%85%d8%a9-%d8%a7%d9%84%d8%b7%d8%a8%d8%ae-500-%d9%85%d9%84/","https://karaz.ps/wp-content/uploads/2022/07/5760466994484-300x300.jpg"
"barcode","كيك يتي كروكر ريد فلفيت","وحدة","016000428997","15.99","","14","38","كيك يتي كروكر ريد فلفيت","12","وحدة","016000428997","Betty Crocker Super Moist خليط الكيك Red Velvet","مكونات الحلويات","15.99","https://karaz.ps/shop/product/betty-crocker-super-moist-%d8%ae%d9%84%d9%8a%d8%b7-%d8%a7%d9%84%d9%83%d9%8a%d9%83-red-velvet/","https://karaz.ps/wp-content/uploads/2022/07/016000428997-300x300.jpg"
"barcode","ارز الضيافة 5 كيلو","وحدة","6253506461255","41.99","","3","7","ارز الضيافة 5 كيلو","32","وحدة","6253506461255","Addyafe Basmati Rice 5kg","الأرز","41.99","https://karaz.ps/shop/product/addyafe-basmati-rice-5kg/","https://karaz.ps/wp-content/uploads/2022/10/6253506461255-300x300.jpg"
"barcode","ارز بوندي شيف 5 كيلو ","وحدة","739340999933","45.99","","3","7","ارز بوندي شيف 5 كيلو ","32","وحدة","739340999933","Bonde Chef Basmati Long Grain Rice 5kg","الأرز","45.99","https://karaz.ps/shop/product/bonde-chef-basmati-long-grain-rice-10kg/","https://karaz.ps/wp-content/uploads/2022/09/739340999933-300x300.jpg"
"barcode","ارز شقحة 5 كيلو ","وحدة","7290002954477","43.99","","3","7","ارز شقحة 5 كيلو ","43","وحدة","7290002954477","SunWhite Rice أرز صنوايت – 5 كيلو","الأرز","43.99","https://karaz.ps/shop/product/sunwhite-rice-%d8%a3%d8%b1%d8%b2-%d8%b5%d9%86%d9%88%d8%a7%d9%8a%d8%aa-5-%d9%83%d9%8a%d9%84%d9%88/","https://karaz.ps/wp-content/uploads/2022/06/7290002954477-300x300.jpg"
"barcode","ارز شقحة 1 كيلو ","وحدة","7290002954460","10.99","","3","7","ارز شقحة 1 كيلو ","10","وحدة","7290002954460","SunWhite Rice أرز صنوايت – 1 كيلو","الأرز","10.99","https://karaz.ps/shop/product/sunwhite-rice-%d8%a3%d8%b1%d8%b2-%d8%b5%d9%86%d9%88%d8%a7%d9%8a%d8%aa-1-%d9%83%d9%8a%d9%84%d9%88/","https://karaz.ps/wp-content/uploads/2022/06/7290002954460-300x300.jpg"
"barcode","ارز الوليمة 5 ك","وحدة","8906022150162","44.99","","3","7","ارز الوليمة 5 ك","43","وحدة","8906022150162","Al-Walemah Rice أرز الوليمه 5K","الأرز","44.99","https://karaz.ps/shop/product/al-walemah-rice-%d8%a3%d8%b1%d8%b2-%d8%a7%d9%84%d9%88%d9%84%d9%8a%d9%85%d9%87-5k/","https://karaz.ps/wp-content/uploads/2022/06/8906022150162-300x300.jpg"
"barcode","ارز بوندي شيف 1 كيلو","وحدة","739340999926","11.99","","3","7","ارز بوندي شيف 1 كيلو","10","وحدة","739340999926","Bonde Chef Basmati Long Grain Rice 1kg","الأرز","11.99","https://karaz.ps/shop/product/bonde-chef-basmati-long-grain-rice-1kg/","https://karaz.ps/wp-content/uploads/2022/09/739340999926-300x300.jpg"
"barcode","سكر سوجات ","وحدة","7290100702864","5.99","","3","9","سكر سوجات ","5.5","وحدة","7290100702864","White Sugar سكر ابيض 1K","الدقيق و السكر و الملح","5.99","https://karaz.ps/shop/product/white-sugar-%d8%b3%d9%83%d8%b1-%d8%a7%d8%a8%d9%8a%d8%b6-1k/","https://karaz.ps/wp-content/uploads/2022/06/7290100702864-300x300.jpg"
"barcode","طحين قمح 1 كيلو","وحدة","8033020445973","15.99","","3","9","طحين قمح 1 كيلو","15","وحدة","8033020445973","Pivotal Flour Antigrumi 1k دقيق للمعجنات و البسكويت","الدقيق و السكر و الملح","15.99","https://karaz.ps/shop/product/pivotal-flour-antigrumi-1k-%d8%af%d9%82%d9%8a%d9%82-%d9%84%d9%84%d9%85%d8%b9%d8%ac%d9%86%d8%a7%d8%aa-%d9%88-%d8%a7%d9%84%d8%a8%d8%b3%d9%83%d9%88%d9%8a%d8%aa/","https://karaz.ps/wp-content/uploads/2022/06/8033020445973-300x300.jpg"
"barcode","سويت اند لو عادي كبير","وحدة","7290000518176","24.99","","3","9","سويت اند لو عادي كبير","19","وحدة","7290000518176","Sweet’n Low Granulated Sweetner Dextrose بديل السكر – 250 Packets","الدقيق و السكر و الملح","24.99","https://karaz.ps/shop/product/sweetn-low-granulated-sweetner-dextrose-%d8%a8%d8%af%d9%8a%d9%84-%d8%a7%d9%84%d8%b3%d9%83%d8%b1-250-packets/","https://karaz.ps/wp-content/uploads/2022/06/7290000518176-300x300.jpg"
"barcode","سمن نباتين 850 غرام","وحدة","6251080055020","23.99","","4","11","سمن نباتين 850 غرام","24","وحدة","6251080055020","NABATIN VEGETABLE SHORTINING 850 G سمنة نباتية","الزيوت و السمنة","23.99","https://karaz.ps/shop/product/nabatin-vegetable-shortining-850-g-%d8%b3%d9%85%d9%86%d8%a9-%d9%86%d8%a8%d8%a7%d8%aa%d9%8a%d8%a9/","https://karaz.ps/wp-content/uploads/2022/07/6251080055020-300x300.jpg"
"barcode","زيت صافي 1 لتر ","وحدة","6253501882055","12.99","","4","11","زيت صافي 1 لتر ","12","وحدة","6253501882055","Safi Corn Oil صافي زيت ذرة – 1 لتر","الزيوت و السمنة","12.99","https://karaz.ps/shop/product/safi-corn-oil-%d8%b5%d8%a7%d9%81%d9%8a-%d8%b2%d9%8a%d8%aa-%d8%b0%d8%b1%d8%a9-1-%d9%84%d8%aa%d8%b1/","https://karaz.ps/wp-content/uploads/2022/06/6253501882055-300x300.jpg"
"barcode","زيت صافي 3 لتر ذرة ","وحدة","6253501882048","31.99","","4","11","زيت صافي 3 لتر ذرة ","33","وحدة","6253501882048","Safi Corn Oil صافي زيت ذرة – 3 لتر","الزيوت و السمنة","31.99","https://karaz.ps/shop/product/safi-corn-oil-%d8%b5%d8%a7%d9%81%d9%8a-%d8%b2%d9%8a%d8%aa-%d8%b0%d8%b1%d8%a9-3-%d9%84%d8%aa%d8%b1/","https://karaz.ps/wp-content/uploads/2022/06/6253501882048-300x300.jpg"
"barcode","زيت صافي 5 لتر ذرة ","وحدة","6253501882031","47.99","","4","11","زيت صافي 5 لتر ذرة ","47","وحدة","6253501882031","Safi Corn Oil صافي زيت ذرة – 5 لتر","الزيوت و السمنة","47.99","https://karaz.ps/shop/product/safi-corn-oil-%d8%b5%d8%a7%d9%81%d9%8a-%d8%b2%d9%8a%d8%aa-%d8%b0%d8%b1%d8%a9-5-%d9%84%d8%aa%d8%b1/","https://karaz.ps/wp-content/uploads/2022/06/6253501882031-300x300.jpg"
"barcode","زيت صافي دوار الشمس 5 لتر ","وحدة","6253501883021","41.99","","4","11","زيت صافي دوار الشمس 5 لتر ","39","وحدة","6253501883021","Safi Sunflower Oil صافي زيت دوار الشمس – 5 لتر","الزيوت و السمنة","41.99","https://karaz.ps/shop/product/safi-sunflower-oil-%d8%b5%d8%a7%d9%81%d9%8a-%d8%b2%d9%8a%d8%aa-%d8%af%d9%88%d8%a7%d8%b1-%d8%a7%d9%84%d8%b4%d9%85%d8%b3-5-%d9%84%d8%aa%d8%b1/","https://karaz.ps/wp-content/uploads/2022/06/6253501883021-300x300.jpg"
"barcode","سمنة الغزال 1 كغم","وحدة","6251080055051","23.99","","4","11","سمنة الغزال 1 كغم","23.5","وحدة","6251080055051","Al-Ghazal Ghee الغزال سمن نباتي – 1 كيلو","الزيوت و السمنة","23.99","https://karaz.ps/shop/product/al-ghazal-ghee-%d8%a7%d9%84%d8%ba%d8%b2%d8%a7%d9%84-%d8%b3%d9%85%d9%86-%d9%86%d8%a8%d8%a7%d8%aa%d9%8a-1-%d9%83%d9%8a%d9%84%d9%88/","https://karaz.ps/wp-content/uploads/2022/06/6251080055051-300x300.jpg"
"barcode","زيت ليسيور 5 لتر زيت الذرة","وحدة","3265475453004","45.99","","4","11","زيت ليسيور 5 لتر زيت الذرة","45","وحدة","3265475453004","Lesieur Corn Oil 5 L","الزيوت و السمنة","45.99","https://karaz.ps/shop/product/lesieur-corn-oil-5-l/","https://karaz.ps/wp-content/uploads/2024/06/3265475453004-300x300.jpg"
"barcode","زيت ليسيور 5 لتر زيت دوار الشمس","وحدة","3265477936000","39.99","","4","11","زيت ليسيور 5 لتر زيت دوار الشمس","40","وحدة","3265477936000","Lesieur Sunflower Oil 5l","الزيوت و السمنة","39.99","https://karaz.ps/shop/product/lesieur-sunflower-oil-5l/","https://karaz.ps/wp-content/uploads/2024/06/3265477936000-300x300.jpg"
"barcode","كريمة للطبيخ 250 مل تنوفا ","وحدة","7290004125721","9.99","","7","19","كريمة للطبيخ 250 مل تنوفا ","9","وحدة","7290004125721","Tnuva Cooking Cream 15% 250ml كريمة طبخ","الشوربات و مكوناتها","9.99","https://karaz.ps/shop/product/tnuva-cooking-cream-15-250ml-%d9%83%d8%b1%d9%8a%d9%85%d8%a9-%d8%b7%d8%a8%d8%ae/","https://karaz.ps/wp-content/uploads/2022/08/7290004125721-300x300.jpg"
"barcode","شوربة اوسم ماجي ","وحدة","7290100685136","18.99","","2","4","شوربة اوسم ماجي ","17","وحدة","7290100685136","Osem Seasoning Powder Chicken Flavor شوربة بطعم الدجاج 1K","الشوربات و مكوناتها","18.99","https://karaz.ps/shop/product/osem-seasoning-powder-chicken-flavor-%d8%b4%d9%88%d8%b1%d8%a8%d8%a9-%d8%a8%d8%b7%d8%b9%d9%85-%d8%a7%d9%84%d8%af%d8%ac%d8%a7%d8%ac-1k/","https://karaz.ps/wp-content/uploads/2022/07/7290100685136-300x300.jpg"
"barcode","ماجي شعيرية","وحدة","6294003589059","5.99","","3","8","ماجي شعيرية","5","وحدة","6294003589059","MAGGI CHICKEN NOODLE SOUP 60G شوربة ماجي بنكهة الدجاج بالشعيرية","الشوربات و مكوناتها","5.99","https://karaz.ps/shop/product/maggi-chicken-noodle-soup-60g-%d8%b4%d9%88%d8%b1%d8%a8%d8%a9-%d9%85%d8%a7%d8%ac%d9%8a-%d8%a8%d9%86%d9%83%d9%87%d8%a9-%d8%a7%d9%84%d8%af%d8%ac%d8%a7%d8%ac-%d8%a8%d8%a7%d9%84%d8%b4%d8%b9%d9%8a%d8%b1/","https://karaz.ps/wp-content/uploads/2022/07/6294003589059-300x300.jpg"
"barcode","اناناس 840 غرام","وحدة","024000012306","13.99","","2","4","اناناس 840 غرام","10","وحدة","024000012306","Del Monte Sliced Pineapple 840 g","معلبات","13.99","https://karaz.ps/shop/product/del-monte-sliced-pineapple-840-g/","https://karaz.ps/wp-content/uploads/2023/05/024000012306-300x300.jpg"
"barcode","فطر مشرح بوندي شيف ","وحدة","4587500236567","5.99","","2","4","فطر مشرح بوندي شيف ","7","وحدة","4587500236567","Bonde Chef Mushroom Pieces 400g فطر مقطع","معلبات","5.99","https://karaz.ps/shop/product/bonde-chef-mushroom-pieces-400g-%d9%81%d8%b7%d8%b1-%d9%85%d9%82%d8%b7%d8%b9/","https://karaz.ps/wp-content/uploads/2022/09/4587500236567-300x300.jpg"
"barcode","مشروم بوندي حبة كاملة 400 غم","وحدة","4875232001455","5.99","","2","4","مشروم بوندي حبة كاملة 400 غم","7","وحدة","4875232001455","Bonde Chef Mushroom Whole 400g فطر مطبوخ حبة كاملة","معلبات","5.99","https://karaz.ps/shop/product/bonde-chef-mushroom-whole-400g-%d9%81%d8%b7%d8%b1-%d9%85%d8%b7%d8%a8%d9%88%d8%ae-%d8%ad%d8%a8%d8%a9-%d9%83%d8%a7%d9%85%d9%84%d8%a9/","https://karaz.ps/wp-content/uploads/2022/09/4875232001455-300x300.jpg"
"barcode","زيتون اسود مع عجم عيدن","وحدة","7290005078200","7.99","","4","11","زيتون اسود مع عجم عيدن","7","وحدة","7290005078200","Eden Black Olives زيتون أسود عيدن 560g – مع عجم","السلطات والمخللات","7.99","https://karaz.ps/shop/product/eden-black-olives-%d8%b2%d9%8a%d8%aa%d9%88%d9%86-%d8%a3%d8%b3%d9%88%d8%af-%d8%b9%d9%8a%d8%af%d9%86-560g-%d9%85%d8%b9-%d8%b9%d8%ac%d9%85/","https://karaz.ps/wp-content/uploads/2022/06/7290005078200-300x300.jpg"
